X,Y
0,11.49014246
0.202020202,10.0902576
0.404040404,12.95316662
0.606060606,16.08424108
0.808080808,11.3177419
1.01010101,11.82284165
1.212121212,17.76794148
1.414141414,15.83765772
1.616161616,12.63198088
1.818181818,16.17313468
2.02020202,13.66025197
2.222222222,14.15836629
2.424242424,16.78649288
2.626262626,10.82581583
2.828282828,11.89595357
3.03030303,15.88889499
3.232323232,15.04231472
3.434343434,19.52860058
3.636363636,16.36683686
3.838383838,15.35904849
4.04040404,24.49795641
4.242424242,19.9287317
4.444444444,21.31369573
4.646464646,17.34191706
4.848484848,20.48806395
5.050505051,22.9590304
5.252525253,19.6783324
5.454545455,24.76345769
5.656565657,22.33949807
5.858585859,23.7713834
6.060606061,23.34639531
6.262626263,31.21340021
6.464646465,26.12112449
6.666666667,23.49353388
6.868686869,29.63935191
7.070707071,24.01423673
7.272727273,28.80840897
7.474747475,22.80785832
7.676767677,25.20736105
7.878787879,30.2875534
8.080808081,32.41741994
8.282828283,31.22117555
8.484848485,30.86517636
8.686868687,30.81386063
8.888888889,27.78665625
9.090909091,30.5677401
9.292929293,31.85040692
9.494949495,36.90874042
9.696969697,35.27327911
9.898989899,29.45835428
10.1010101,36.22477716
10.3030303,34.60232892
10.50505051,34.23186026
10.70707071,38.60270563
10.90909091,40.36572584
11.11111111,40.57161814
11.31313131,35.76517571
11.51515152,37.86024166
11.71717172,40.28671959
11.91919192,42.72461518
12.12121212,38.86550759
12.32323232,40.25110388
12.52525253,37.99412639
12.72727273,38.22956195
12.92929293,44.76080979
13.13131313,46.89700291
13.33333333,43.11730297
13.53535354,46.84898253
13.73737374,45.42834242
13.93939394,42.91312558
14.14141414,46.43772217
14.34343434,50.47269556
14.54545455,46.25615825
14.74747475,51.56261784
14.94949495,39.51450206
15.15151515,50.34449539
15.35353535,48.64497959
15.55555556,47.99186684
15.75757576,49.66922172
15.95959596,43.93628316
16.16161616,49.74502474
16.36363636,51.98042862
16.56565657,96.2
16.76767677,50.36438126
16.96969697,49.99876162
17.17171717,51.4240218
17.37373737,56.18054979
17.57575758,105.5
17.77777778,52.85516383
17.97979798,92.4
18.18181818,55.7457781
18.38383838,58.86553093
18.58585859,54.35848718
18.78787879,55.98671053
18.98989899,102.2
19.19191919,53.58925314
19.39393939,59.37320932
19.5959596,59.77306481
19.7979798,59.51028986
20,59.2962386
